,X,m1.x,bs1,bs2,LRTbs1m1,LRTbs2bs1,AccPval,PosSelPval,AccPvaladj,PosSelPvaladj,m1.y,m2,m8,m8a,LRTm2m1,LRTm8m8a,pvalm2m1,pvalm8m8a,pvalm2m1adj,pvalm8m8adj
155,KRTAP5-5,-3445.301122,-3439.597578,-3416.35563,5.703544,23.241948,0.000731644,9.24E-12,0.001532602,1.84E-09,-2797.466017,-2720.249821,-2721.477675,-2797.494235,77.216196,76.01656,1.86E-35,6.23E-35,1.85E-33,1.24E-32
111,KRTAP19-1,-3111.254487,-3111.090553,-3090.40712,0.163934,20.683433,0.566917192,1.26E-10,0.641002961,1.11E-08,-2066.763649,-2055.764881,-2055.989614,-2066.792783,10.998768,10.803169,2.73E-06,3.35E-06,1.04E-05,1.67E-05
153,KRTAP5-3,-2890.357757,-2890.232719,-2869.826695,0.125038,20.406024,0.617021569,1.68E-10,0.693713515,1.11E-08,-2192.565805,-2166.264564,-2165.22598,-2192.498048,26.301241,27.272068,4.08E-13,1.52E-13,4.28E-12,2.33E-12
156,KRTAP5-6,-2450.500837,-2448.564385,-2433.198672,1.936452,15.365713,0.049071546,2.96E-08,0.075227208,1.47E-06,-1724.121943,-1702.102002,-1702.94448,-1724.284426,22.019941,21.339946,3.22E-11,6.45E-11,2.78E-10,8.55E-10
165,KRTAP9-4,-4693.262097,-4693.094081,-4678.89449,0.168016,14.199591,0.562128631,9.87E-08,0.641002961,3.93E-06,-3571.071436,-3559.683455,-3561.654994,-3569.045746,11.387981,7.390752,1.82E-06,0.000120714,7.39E-06,0.000358538
136,KRTAP29-1,-14418.13004,-14418.11883,-14405.17084,0.01121,12.947998,0.880975196,3.60E-07,0.963264088,1.20E-05,-12051.73475,-11993.8074,-11993.38377,-12050.81477,57.92735,57.430999,5.11E-27,8.44E-27,2.54E-25,8.39E-25
94,KRTAP10-5,-6902.085198,-6902.085197,-6889.479541,1.00E-06,12.605656,0.998871622,5.14E-07,1,1.46E-05,-5129.701229,-5117.69273,-5107.993912,-5117.264695,12.008499,9.270783,9.55E-07,1.66E-05,4.32E-06,6.49E-05
133,KRTAP25-1,-4867.73396,-4877.76712,-4866.202281,-10.03316,11.564839,1,1.51E-06,1,3.77E-05,-3513.448619,-3516.02713,-3512.488278,-3516.83194,-2.578511,4.343662,1,0.003204307,1,0.007246104
118,KRTAP19-8,-2450.788964,-2450.788623,-2441.591046,0.000341,9.197577,0.979165509,1.80E-05,1,0.000396925,-1954.217752,-1943.248385,-1942.94923,-1954.064615,10.969367,11.115385,2.81E-06,2.42E-06,1.06E-05,1.23E-05
146,KRTAP4-5,-6927.510873,-6925.908184,-6917.101425,1.602689,8.806759,0.073396547,2.71E-05,0.105839948,0.000538609,-5262.582906,-5236.644014,-5233.634895,-5239.159839,25.938892,5.524944,5.91E-13,0.000886926,5.88E-12,0.002262797
140,KRTAP4-1,-4332.318854,-4325.078921,-4316.450482,7.239933,8.628439,0.000141666,3.27E-05,0.000335613,0.000575754,-3641.309405,-3621.974618,-3615.91705,-3633.284756,19.334787,17.367706,5.02E-10,3.78E-09,3.84E-09,3.13E-08
167,KRTAP9-7,-4985.844347,-4985.754651,-4977.184529,0.089696,8.570122,0.671896268,3.47E-05,0.738714681,0.000575754,-3633.731261,-3626.590046,-3626.626962,-3632.924463,7.141215,6.297501,0.000157327,0.00038678,0.000413697,0.001040124
151,KRTAP5-1,-3886.671505,-3874.231587,-3866.438538,12.439918,7.793049,6.10E-07,7.88E-05,1.95E-06,0.001206737,-2772.317379,-2719.668122,-2721.833197,-2740.312041,52.649257,18.478844,1.05E-24,1.21E-09,3.48E-23,1.33E-08
83,KRTAP1-1,-4647.825403,-4641.29049,-4634.494214,6.534913,6.796276,0.000300091,0.000227085,0.000678615,0.003227847,-3633.512326,-3622.151628,-3608.730021,-3618.511945,11.360698,9.781924,1.87E-06,9.73E-06,7.45E-06,4.50E-05
159,KRTAP6-3,-2542.638008,-2542.542257,-2535.990583,0.095751,6.551674,0.661669445,0.000294768,0.735598992,0.003910595,-2086.865558,-2055.366195,-2055.487643,-2086.622396,31.499363,31.134753,2.07E-15,3.00E-15,2.57E-14,7.45E-14
166,KRTAP9-6,-4017.748791,-4017.342535,-4011.356959,0.406256,5.985576,0.367378618,0.000540305,0.443080878,0.006720047,-3269.189059,-3251.006801,-3256.840753,-3269.339327,18.182258,12.498574,1.64E-09,5.74E-07,1.16E-08,3.46E-06
107,KRTAP13-4,-7451.057602,-7450.331042,-7444.520603,0.72656,5.810439,0.228027981,0.000652156,0.289029097,0.007209948,-5612.419425,-5566.556589,-5568.421929,-5607.500013,45.862836,39.078084,9.96E-22,9.52E-19,2.20E-20,2.71E-17
143,KRTAP4-2,-5009.63385,-5008.826117,-5002.989316,0.807733,5.836801,0.20372515,0.000633932,0.259880159,0.007209948,-3752.697056,-3707.416919,-3689.360917,-3707.761414,45.280137,18.400497,1.79E-21,1.31E-09,3.57E-20,1.37E-08
168,KRTAP9-8,-4387.368543,-4384.043876,-4378.440706,3.324667,5.60317,0.009919289,0.000815183,0.017315251,0.008537974,-3234.586645,-3228.636855,-3226.682691,-3231.670276,5.94979,4.987585,0.000561466,0.001586653,0.001346166,0.003850537
116,KRTAP19-6,-2309.487141,-2308.631991,-2303.196033,0.85515,5.435958,0.190946452,0.000976335,0.245150606,0.00971453,-1636.182529,-1627.760935,-1627.727489,-1636.224431,8.421594,8.496942,4.06E-05,3.75E-05,0.000126237,0.000130923
152,KRTAP5-2,-3618.27708,-3608.340751,-3603.39888,9.936329,4.941871,8.28E-06,0.001667455,2.20E-05,0.01580112,-2525.89734,-2474.503192,-2477.388843,-2524.734173,51.394148,47.34533,3.73E-24,2.23E-22,1.06E-22,1.11E-20
105,KRTAP13-2,-8583.310648,-8581.857131,-8576.983612,1.453517,4.873519,0.088193932,0.001796119,0.122160934,0.016246712,-6658.872221,-6643.791992,-6647.050252,-6658.881916,15.080229,11.831664,3.98E-08,1.15E-06,2.14E-07,6.17E-06
